New Tokens ,P|S|I|X|R|U (Problem/solution/item/stop word/redundant/unsure),Preferred label,Notes
replace,S,,
unit,I,,
motor,I,,
spindle,I,,
leak,P,,
valve,I,,
replaced,S,replace,
fault,P,,
bar,I,,
inop,P,inoperable,
accumulator,I,,
repair,S,,
remove,S,,
hydraulic,I,,
table,I,,
check,S,,
coolant,I,,
bearing,I,,
break,P,broken,
screw,I,,
pump,I,,
machine,I,,
alarm,P,,
broken,P,,
chip,I,,
sensor,I,,
instal,S,install,
charge,S,,
switch,I,,THIS MIGHT ALSO BE AN ACTION 
adjust,S,,
new,X,,
conveyor,I,,
issue,P,fault,"WE DISCUSSED THIS AT ANOTHER POINT, BUT WE SHOULD FIGURE OUT IF ISSUE IS A HIGHER LEVEL AND THAN FAULT AND ALARM ARE A TYPE OF ISSUE"
operator,I,,
pressure,I,,
brush,I,,
part,I,,
complete,S,,
clamp,I,,
clean,S,,
request,P,,
drive,I,,
cable,I,,
reset,S,,
head,I,,
loose,P,,
loader,I,,
power,P,,"UNSURE...POWER OFF? OR POWER ON? OR ""NO POWER"""
brush unit,I,brush_unit,
tool,I,,
air,I,,
belt,I,,
rebuild,S,,
base,I,,
turret,I,,
jam,P,,
feed,I,,
filter,I,,
line,I,,
clear,S,,
swap,S,,
oil,I,,
axis,I,,
chip conveyor,I,chip_conveyor,
collet,I,,
30bar,X,,NOT SURE ON THIS ONE
bad,P,broken,
ok,X,,
hp,I,high_pressure,"This is not always the case though because some times they say ""hp"" as the machine has high pressure for an action"
control,I,,
return,U,,tHIS DEPENDS 
need,P,,
prox,I,proximity,
breaker,I,,
load,S,,i THINK THIS IS SOLUTION
accumulator check,S,check,
hydraulic leak,P,leak,
iemca,I,,
low,P,,"THIS IS A TOUGH ONE, BECAUSE LOW BY ITSELF SHOULD MEAN PRESSURE IS LOW BUT SOMETIMES THIS WILL GIVE YOU THE ""LOW_PRESSURE"" PUMP ETC"
clutch,I,,
inverter,I,,
chain,I,,
wear,P,,
wire,I,,
hose,I,,
drill,I,,
run,X,,I WOULD ARGUE STOP WORD>>>WILL NOT RUN VS RUN IS UNKNOWABLE
seal,I,,
level,S,,I THINK THIS SHOULD ALWAYS BE SOLUTION
end,I,,
fuse,I,,
index,P,,THIS IS NOT ALWAYS ITEM OR ACTION (WILL_NOT_INDEX)
vogel,I,,
cycle,S,,NOT SURE ON THIS ONE
check request,S,check_request,
report,S,,I'M NOT SURE 
tank,I,,
flow,U,,"LIKE ""RUN"""
shaft,I,,
connection,I,,
position,U,,COULD BE STOP WORD
b,X,,
hyd,I,hydraulic,
st#2,I,st_2,
accumulator check request,P,check_request,
stop,U,,THIS DEPENDS 
contactor,I,,
track,I,,
main,I,,
pin,I,,
bolt,I,,
trip,P,,
stick,I,,COULD BE 'STUCK'>>P
2,X,,
set,S,,i THINK THIS IS A SOLUTION
door,I,,
operator level,S,train_operator,"THIS COULD BE OUR ""TRAIN OPERATOR"""
wheel,I,,
saw,I,,
overload,P,,
start,U,,"LIKE ""RUN"""
lock,U,,"LIKE ""RUN"", could be I"
lp,I,low_pressure,"This is not always the case though because some times they say ""lp"" as the machine has low pressure for an action"
plug,I,,
strip,P,,
see,X,,
xd,I,,
cylinder,I,,
cut,U,,
module,I,,
order,S,,
removed,S,remove,
failure,P,broken,
change,S,,
pulley,I,,
cnc,I,,
coolant pump,I,coolant_pump,
detector,I,,
1,X,,
bar loader,I,bar_loader,
shut,S,,"LIKE ""RUN"""
gear,I,,
forward,P,,"ALWAYS ""STUCK FORWARD"""
charge to 30bar,S,charge,"THIS IS INTERESTING BECAUSE THIS COULD BOTH BE ""CHARGE"" AND EITHER LOW PRESSURE OR HIGH PRESSURE FOR THE PROBLEM ACTION"
conveyor jam,P,jam,
spindle bearing,I,spindle_bearing,
lube,I,,
turn,U,,"LIKE ""RUN"""
time,U,,COULD BE STOP
3,X,,
solenoid,I,,
limit,U,,
indexing,U,,
online,S,,
transport,I,,
housing,I,,
station,I,,
damage,P,broken,
fitting,I,,
close,U,,"LIKE ""RUN"""
speed,U,,COULD BE STOP
feeder,I,,
remove and replace,R,,
chip conveyor jam,P,jam,
cause,X,,
spare,I,,
50bar,X,,
miss,P,,
auto,U,,
controller,I,,
work,X,,
actuator,I,,
drop,P,,
slide,I,,
offload,I,,
pack,I,,
table index,I,table_index,
encoder,I,,
fan,I,,
align,S,,
st#3,I,st_3,
thread,I,,
tag,S,,
clamp screw,I,clamp_screw,
gripper,I,,
nok,P,inoperable,
mount,U,,
drill detector,I,drill_detector,
open,P,,
st#10,I,st_10,
st#6,I,st_6,
add,S,,
electrical,I,,
4,X,,
dog,I,,
install,S,,
st#12,I,st_12,
st#11,I,st_11,
st#5,I,st_5,
rear,I,,
not,X,,
pendant,I,,
pick,X,,
tube,I,,
fall,P,,"LIKE ""RUN"""
detection,U,,
travel,U,,"LIKE ""RUN"""
short,P,,
power pack,I,power_pack,
ball,I,,
tighten,S,,
rebuilt,S,rebuild,
correct,S,,
guard,I,,
xd head,I,xd_head,
cover,I,,
table indexing,I,table_index,I think this is right
light,I,,
require,X,,
plate,I,,
base clean,S,clean,
roll,U,,
vogel lube,I,vogel_lube,
fail,P,broken,
steve,I,person,
guide,I,,
stock,I,,
blow,P,,"""BLOWN""?"
airline,I,air_line,
pusher,I,,
bar feeder,I,bar_feeder,
reinstall,S,install,
attachment,I,,
5,X,,
6,X,,
move,S,,"LIKE ""RUN"""
coolant leak,P,leak,
counter,I,,
drain,S,,
z,X,,
ring,I,,
coil,I,,
sensor cable,I,sensor_cable,
trip breaker,P,trip,
feeder chain,I,feeder_chain,
grind,U,,
shift,X,,
st#8,I,st_8,
bearing wear,P,wear,
holder,I,,
chute,I,,
jaw,I,,
play,X,,
25bar,X,,
lead,X,,
cool,U,,
loading,U,,
coolant flow,U,,
hyd leak,P,leak,
replace motor,S,replace,
adjustment,U,,not sure which way this should go
conveyor inop,P,inoperable,
ball screw,I,ball_screw,
cross,I,,
limit switch,I,limit_switch,
interlock,I,,
key,I,,
starter,I,,
rod,I,,
st#7,I,st_7,
adjusted,S,adjust,
reverse,S,,"LIKE ""RUN"""
nut,I,,
home,I,,
spring,I,,
wo,X,,
wo not,X,,
fee,X,,?
high,U,,
bearing replace,S,replace,
st#4,I,st_4,
stick forward,P,stuck_forward,
wiring,I,wire,
hsk,I,,
piston,I,,
bear,I,,Is it shortening Bearing (V)?
bind,P,,
pump motor,I,pump_motor,
safety,I,,
tool detection,I,tool_detection,
hot,U,,
noise,P,,
disc,I,,
bar end,I,bar_end,
major,P,,
tag accumulator,S,tag,
replace broken,S,replace,
rupture,P,,
chain break,P,broken,
unit inop,P,inoperable,
bracket,I,,
motor starter,I,motor_starter,
flow control,U,,
o,X,,
st#9,I,st_9,
pump inop,P,inoperable,
control valve,I,control_valve,
check accumulator,P,check,
multiple,X,,
fit,U,,"LIKE ""RUN"""
bar change,I,bar_change,I THINK THIS IS OK
hydraulics,I,hydraulic,
cleaned,S,clean,
come,X,,
jpm,P,jam,
cross drill,I,cross_drill,
rack,I,,
1/2,X,,
flag,I,,
plc,I,,
z axis,I,z_axis,
relay,I,,
tensioned,S,tension,
chip conveyor inop,P,inoperable,
tony,I,person,
proximity,I,proximity,
excessive,P,,
unit stick,P,will_not_move,not sure 
rotator,I,,
brake,I,,
x,X,,
scraper,I,,
place,X,,
vertical,U,,
regulate,U,,
blade,I,,
brush unit stick,I,brush_unit_stick,
replace with new,S,replace,
11,X,,
block,U,,
hold,U,,
lube fault,P,lube_fault,
unit stick forward,P,will_not_move,
bar feeder chain,I,bar_feeder_chain,
o/t,U,,
return line,I,return_line,
1/2 table,R,,
connector,I,,
face,I,,
cabinet,I,,
regulate wheel,U,,
basket,I,,
replace bad,S,replace,
weld,S,,
unit remove,S,remove,
st,I,st,
charge to 50bar,S,charge,
hour,X,,
vogel lube fault,P,vogel_lube_fault,
invert,U,,PROBABLY INVERTER
stroke,I,,
10,X,,
recess,U,,
bearings,I,bearing,
arrive,U,,
broken wire,P,broken,
prox cable,I,proximity_cable,
bar feed,I,bar_feeder,
gate,I,,
shelf,I,,
box,I,,
go,U,,"LIKE ""RUN"""
offload conveyor,I,,
worn,P,,
o/t fault,P,overtime_fault,
st2,I,st_2,
lead screw,I,lead_screw,
burn,P,burnt,
russ,I,person,
ready,S,,"LIKE ""RUN"""
bearing check,P,check,
strip screw,P,strip,
gauge,I,,
leaking,P,leak,
leak hydraulic,P,leak,
20bar,X,,
unit motor,I,unit_motor,
slow,P,,
floor,I,,
intake,I,intake,
catcher,I,,
air line,I,air_line,
panel,I,,
tray,I,,
connect,S,,
iemca track,I,iemca_track,
b turret,I,b_turret,
replacement,R,,
signal,U,,
bladder,I,,
blow fuse,P,blow,
section,I,,
overload fault,P,overload_fault,
air leak,P,leak,
flange,I,,
drive belt,I,drive_belt,
selector,I,,
seize,P,will_not_move,
unable,X,,
alex,I,person,
hub,I,,
review,S,,
7,X,,
replace seal,S,replace,
cable replace,S,replace,
clean request,P,clean_request,
setup,S,,I think this is always a solution
thread unit,I,thread_unit,
contactor overload,P,contactor_overload,
cleaning,S,clean,This might come up as problem 'need cleaning' or something
collision,P,,
push,S,,?
rotate,U,,
screen,I,,
fire,U,,
indexer,I,,
alignment,U,,
ruptured,P,rupture,
broken screw,P,broken,
channel,I,,
performance,U,,
performance module,I,performance_module,
service,U,,
selector switch,I,selector_switch,
confirm,X,,
base clean request,P,clean_request,
drive fault,P,drive_fault,
missing,P,,
proximity switch,I,proximity_switch,
day,X,,
replaced bearing,S,replace,
bent,P,,
temp,U,,
support,X,,
electrical cabinet,I,electrical_cabinet,
ok at 30bar,S,no_problem_detected,
function,X,,
seal replace,S,replace,
motor contactor,I,motor_contactor,
finish,X,,
assess,S,,
tool holder,I,tool_holder,
norm,X,,
major hydraulic,P,major,
brush unit motor,I,brush_unit_motor,
rebuilt unit,S,rebuild,
hit,P,,
wrong,P,,
repeat,S,repeat,"LIKE ""RUN"""
present,U,,
major hydraulic leak,P,leak,
replace cable,S,replace,
stay,X,,
increase,S,,
water,U,,
hole,I,,
chatter,P,noise,
laser,I,,
release,S,,
rotation,P,,"LIKE ""RUN"""
chuck,I,person,"Unless this is a drill ""chuck"" "
tension,S,,
pm,U,,COULD BE PREVENTATIVE MAINTENANCE 
collector,I,,
pull,S,,
saw unit,I,saw_unit,
error,P,,
get,X,,
blown,S,,
brush unit inop,P,inoperable ,
replaced fuse,S,replace,
properly,X,,
good,X,,
oil leak,P,leak,
slip,P,,
indexing valve,I,indexer_valve,
leave,X,,
replace hydraulic,S,replace,
hand,I,,
detector inop,P,inoperable,
cut off unit,I,cutoff_unit,
charge accumulator,S,charge,
servo,I,,
hp coolant,I,high_pressure_coolant,
button,I,,
sub spindle,I,sub_spindle,
sub,X,,
lift,I,,"As in ""a lift"""
x axis,I,x_axis,
roller,I,,
chamfer,I,,
26/80,X,,
part catcher,I,part_catcher,
upper,I,,
program,S,,
link,I,,
load in auto,X,,
monitor,I,,
broken bar,P,broken,
length,U,,"LIKE ""RUN"""
fluid,I,,
w/o,X,,
spin,P,,"LIKE ""RUN"""
b.,I,side_b,
area,I,,
grind wheel,I,grind_wheel,
inventory,U,,
complete cycle,S,complete,
instal new,S,install,
marcel,I,person,
clear chip,S,clear,
table indexing valve,I,table_index_valve,
broken bar feeder,P,broken,
output,I,,
carrier,I,,
gage,I,,
exit,I,,I think this is ok
pusher dog,I,push_dog,
check and charge,R,,
center,I,,
gasket,I,gasket,
vibration,P,vibrate,
hsk clamp,I,hsk_clamp,
face travel,I,face_travel,
read,X,,
40bar,X,,
c/o,I,cutoff,I think this is cutoff
heat,U,,
c,X,,
air pressure,I,air_pressure,
35/60,X,,
feed pressure,I,feed_pressure,
contact,U,,
travel flag,I,travel_flag,
sequence,U,,
board,I,,
drill detector inop,P,inoperable,
table down prox,I,table_down_proximity,
replace blow,R,,
overtime,P,,I think this is a problem (overtime_fault)
allow,X,,
2nd,X,,
rail,I,,
clutch disc,I,clutch_disc,
hydraulic hose,I,hydraulic_hose,
long,I,,
12,X,,
free,U,,
overheat,P,,
low coolant,P,low,
coolant pump inop,P,inoperable,
loader chain,I,loader_chain,
retain,U,,
belt replace,S,replace,
hydraulic fluid,I,hydraulic_fluid,
oper,U,,
believe,X,,
replace leak,R,,
drift,P,,
grease,S,,Might be problem too
main spindle,I,main_spindle,
drum,I,,
dk,X,,
cross drill head,I,cross_drill_head,
drill head,I,drill_head,
p/o,U,,
hp pump,I,high_pressure_pump,
cool fan,I,cooling_fan,
prox sensor,I,proximity_sensor,
vacuum,I,,
tight,P,,
rate,U,,
drive shaft,I,drive_shaft,
condition,X,,
tip,I,,
pressure switch,I,pressure_switch,
chip guard,I,chip_guard,
denis,I,person,
make,S,build,Not sure on this one 
step,U,,
gio,I,person,
extend,U,,
bus,I,,
mode,I,,
loss,P,,
reg,U,,
balance,U,,
take,X,,
tech,I,person,
installed,S,install,
purchase,S,,
float,I,,
breaker trip,P,trip,
valve replace,S,replace,
robot,I,,
hydraulic return,I,hydraulic_return,
hose replace,S,replace,
motor overload,P,motor_overload,
light inop,P,inoperable,
replace o,S,replace,
damaged,P,broken,
ejector,I,,
horseshoe,I,,
paddle,I,,
z1,I,z_1,
filtermist,I,filtermist,
cnc unit,I,cnc,
chip breaker,I,chip_breaker,
latch,I,,
tear,P,,
chiller,I,,
reference,U,,
aim,I,,
possible,X,,
supply,I,supply,
hs,I,high_speed,
control panel,I,control_panel,
prevent,X,,
glass,I,,
bulb,I,,
assembly,I,,
8,X,,
replace valve,S,replace,
clutch adjust,S,adjust,
use,U,,
solenoid valve,I,solenoid_valve,
detection inop,P,inoperable,
call,P,,"like ""call (person)""?"
cam,U,,
reg wheel,I,regulating_wheel,
base need,P,need,
cycle power,S,cycle,
pipe,I,,
replace blow fuse,S,replace,
filter replace,S,replace,
splash,P,,
excess,U,,
disconnect,P,,
10bar,X,,
arm,I,,
conveyor belt,I,conveyor_belt,
heavy,P,,
swapped,S,swap,
saw attachment,I,saw_attachment,
hydraulic filter,I,hydraulic_filter,
replace sensor,S,replace,
spindle bearing wear,P,wear,
index o/t,P,overtime_fault,
table index o/t,P,overtime_fault,
po,I,,"We still need to ask what this is, but i am pretty sure this is an item"
production,X,,
belt break,P,broken,
send,U,,
overtime fault,P,overtime_fault,
anthony,I,person,
20,X,,
low pressure,I,low_pressure,
adjust table,S,adjust,
face travel flag,I,face_travel_flag,
circuit,I,,
offset,U,,
chip breaker valve,I,chip_breaker_valve,
hydraulic line,I,hydraulic_line,
breaker valve,I,breaker_valve,
knoll,U,,
skimmer,I,,
regulator,I,,
mill,I,,
zero,X,,
saw head,I,saw_head,
replaced sensor,S,replace,
tool head,I,head,
fabricate,S,,
bleeder,I,,
room,I,,
e,X,,
torque,U,,
c axis,I,c_axis,
st#2 spindle,I,st_2_spindle,
vogel tank,I,vogel_tank,
bar load,I,bar_loader,
door interlock,I,door_interlock,
set screw,I,set_screw,
modify,S,,
frl,X,,
crash,P,,
coolant pump motor,I,coolant_pump_motor,
respond,S,,
screw strip,P,strip,
coolant hose,I,coolant_hose,
bushing,I,,
coolant tank,I,coolant_tank,
coupling,I,,
right,U,,
cycled,S,cycle,
bowl,I,,
realign,S,align,
leg,I,,
truck,I,,
float switch,I,float_switch,
reconnected,S,reconnect,
replaced vogel,S,replace,
loose connection,P,loose,
stuck,P,stuck,
loader inop,P,inoperable,
hang,P,,THINK THIS IS OK
bearing and seal,R,,
have,X,,
hydraulic pressure,I,hydraulic_pressure,
stack,I,,
sync,S,,
st#5 brush unit,I,st_5_brush_unit,
st#5 brush,I,st_5_brush,
blown fuse,P,blow,
stock clamp,I,stock_clamp,
second,X,,
jammed,P,jam,
lose,P,loose,I think this is loose
jose,I,person,
a.,I,side_a,wE NEED TO DISCUSS IF THIS IS STOP WORD BECAUSE OF THINGS LIKE SIDE_a
detect,U,,
post,I,,Not Sure
machine run,S,run,
jet,I,,
spare unit,S,swap,"I think this is interesting, but i think this should always give us swap "
crack,P,,
clog,P,,
bar clamp,I,bar_clamp,
cutoff,I,cutoff_unit,
arbor,I,,
change shaft,U,,
lp accumulator,P,low_pressure,THIS IS R
separator,I,,
jc,U,,
push dog,I,push_dog,?
skirt,I,,
break screw,U,,
catch,I,,"probably ""a catch"""
lower,U,,
flag sensor,I,flag_sensor,
run in auto,I,run_auto,
time cycle,I,time_cycle,I am not one hundred percent sure on this 
spindle bearing replace,S,replace,
bar not feed,P,will_not_feed,
linear,I,,
variation,P,,
approach,U,,
e stop,P,emergency_stop,I think this is problem
synchronize,U,,
mist,I,,
hydraulic pump,I,hydraulic_pump,
conveyor motor,I,conveyor_motor,
replaced broken,R,,
fully,X,,
low coolant flow,P,low,
broken clutch,P,broken,
sp#6,I,sp_6,
actual,X,,
loud,P,noise,
replace coolant,S,replace,
hydraulic return line,I,hydraulic_return_line,
loader fault,P,fault,
conveyor clutch,I,conveyor_clutch,
FALSE,X,,
disassemble,S,,
nest,X,,
st#2 drill,I,st_2_drill,
table valve,I,table_valve,
jon,I,person,
motor inop,P,inoperable,
loose wire,P,loose,
index o/t fault,P,index_overtime_fault,
1st,X,,
resolve,S,,
retract,S,,
trace,X,,
action,X,,
broken clutch disc,P,broken,
vary,P,,"LIKE ""RUN"""
rear of iemca,I,iemca_rear,
leak at rear,P,leak,
rings,I,,
replace table,S,replace,
bar loading,I,bar_loader,
reboot,S,,
st#14,I,st_14,
jump,S,,
offline,P,inoperable,
remove broken,S,remove,
shuttle,I,,
bar loader chain,I,bar_loader_chain,
loader chain break,P,broken,
tool detection inop,P,inoperable,
remount,S,,
collet close,U,,
borrow,S,,
3rd,X,,
drop part,P,drop_part,
hydraulic motor,I,hydraulic_motor,
reset breaker,S,reset,
replaced motor,S,replace,
replace miss,S,replace,
utility,X,,
replace spindle,S,replace,
hog,I,,
spindle drive,I,spindle_drive,
feed chain,I,feed_chain,
pressure gauge,I,pressure_gauge,
tool clamp,I,tool_clamp,
id,U,,
inside,X,,
seat,I,,
engage,U,,
setting,U,,
clip,I,,
washer,I,,
remove and clean,R,,
impellor,I,,
milling,I,,
wand,I,,
sprocket,I,,
recess unit,I,recess_unit,
slug,I,,
spool,I,,
chamfer unit,I,chamfer_unit,
see attachment,S,see,
receiver,I,,
attach,S,,
>,X,,
dresser,I,,
oil pump,I,oil_pump,
rhe,X,,
orifice,I,,
extension,U,,
monitoring,U,,
input,I,,
clamp jaw,I,clamp_jaw,
soft,X,,
parameter,I,,
pad,I,,
reject,U,,
pivot,I,,
delay,P,,
x3,I,x_3,
receive,U,,
rewire,S,wire,
hydraulic oil,I,hydraulic_oil,
new motor,R,,
14,X,,
manually,S,manual,
part order,S,order,
valve leak,P,leak,
unit jam,P,jam,
filter housing,I,filter_housing,
9,X,,
prox switch,I,proximity_switch,
power to machine,U,,
switch inop,P,inoperable,
retainer,I,,
range,U,,
wheel control,U,,
replace motor starter,S,replace,
provide,S,,
coolant line,I,coolant_line,
wheel control valve,I,wheel_control_valve,
repeatedly,X,,
tripping,P,trip,
depth,U,,
pp,U,,
smog,I,,
replace screw,S,replace,
hp at 50bar,R,,
up/down,I,up_down,
check valve,S,check,
cycled power,S,cycle,
replace clamp,S,replace,
issue report,S,report,
counter inop,P,inoperable,
spindle shut,R,,
bar loader fault,P,fault,
table up/down,I,table_up_down,
bleeder valve,I,bleeder_valve,
st#1,I,st_1,
replace switch,S,replace,
turret 3,I,turret_3,
maintenance,U,,
electric,I,,
